epoch,accuracy,auc_6,f1_m,loss,recall_6,specificity,val_accuracy,val_auc_6,val_f1_m,val_loss,val_recall_6,val_specificity
0,0.4987500011920929,0.4961887001991272,0.4179837703704834,74.97074295043946,0.39364302158355713,0.5292836427688599,0.5,0.39499998092651367,0.0,74.72535705566406,0.0,0.5211054086685181
1,0.4962500035762787,0.5006253123283386,0.4240649342536926,74.5488362121582,0.4156479239463806,0.5212757587432861,0.5249999761581421,0.5375000238418579,0.10000000149011612,74.30418395996094,0.05000000074505806,0.5168982744216919
2,0.4987500011920929,0.4900017976760864,0.4160122275352478,74.13519523620606,0.43187659978866577,0.5128929018974304,0.5249999761581421,0.6475000381469727,0.10000000149011612,73.88678436279297,0.05000000074505806,0.5186196565628052
3,0.5575000047683716,0.5681849718093872,0.48748382925987244,73.69468101501465,0.47772276401519775,0.5423688888549805,0.675000011920929,0.7412500381469727,0.5314284563064575,73.47090759277344,0.4000000059604645,0.5156227350234985
4,0.5475000143051147,0.5619859099388123,0.49627459049224854,73.28711402893066,0.5100502371788025,0.5212798714637756,0.675000011920929,0.7837499976158142,0.5314284563064575,73.05966186523438,0.4000000059604645,0.5161459445953369
5,0.5325000286102295,0.5524810552597046,0.47397875785827637,72.88353073120118,0.48362720012664795,0.5200672745704651,0.7250000238418579,0.7975000143051147,0.6147618293762207,72.65184020996094,0.5,0.5148661136627197
6,0.5575000047683716,0.570295512676239,0.5163247585296631,72.46979988098144,0.5326633453369141,0.5286195278167725,0.7250000238418579,0.7849999666213989,0.7099999785423279,72.245654296875,0.699999988079071,0.5109210014343262
7,0.5562499761581421,0.5832047462463379,0.522706151008606,72.06133399963379,0.5434243083000183,0.5208455920219421,0.7250000238418579,0.8137499690055847,0.7099999785423279,71.84176177978516,0.699999988079071,0.5114344954490662
8,0.5575000047683716,0.5833015441894531,0.513222336769104,71.65777801513671,0.5281173586845398,0.5185132622718811,0.75,0.831250011920929,0.752380907535553,71.4383529663086,0.800000011920929,0.5104813575744629
9,0.5975000262260437,0.620055615901947,0.5691331624984741,71.2446075439453,0.6028708219528198,0.5261507034301758,0.7250000238418579,0.8187500238418579,0.735714316368103,71.03675689697266,0.800000011920929,0.5073448419570923
10,0.6162499785423279,0.6627435088157654,0.5950475931167603,70.8253335571289,0.6401985287666321,0.529508113861084,0.7250000238418579,0.824999988079071,0.735714316368103,70.63691101074218,0.800000011920929,0.5109331011772156
11,0.6237499713897705,0.6764615774154663,0.5814830660820007,70.42196884155274,0.6040608882904053,0.5446224808692932,0.7749999761581421,0.846250057220459,0.7738094925880432,70.23677978515624,0.800000011920929,0.5223017930984497
12,0.6524999737739563,0.7020121812820435,0.5675905346870422,70.01476303100586,0.573298454284668,0.5744612812995911,0.800000011920929,0.8662500381469727,0.7880951762199402,69.83653869628907,0.699999988079071,0.532936692237854
13,0.6700000166893005,0.7109912037849426,0.6338492631912231,69.62074729919433,0.6283618807792664,0.5665289759635925,0.8500000238418579,0.8912500143051147,0.8357863426208496,69.43489837646484,0.8500000238418579,0.5324620008468628
14,0.6825000047683716,0.7537583112716675,0.6364243030548096,69.20819313049316,0.6115108132362366,0.6018763780593872,0.824999988079071,0.9137500524520874,0.8180086016654968,69.03308410644532,0.8500000238418579,0.53108811378479
15,0.6875,0.7517260313034058,0.6678524017333984,68.82044815063476,0.6853658556938171,0.585380494594574,0.8500000238418579,0.9375,0.8465800285339355,68.6297622680664,0.8999999761581421,0.5374102592468262
16,0.6875,0.7767717838287354,0.6327158808708191,68.40793746948242,0.6320000290870667,0.6166865825653076,0.8999999761581421,0.9674999713897705,0.8865799903869629,68.22369079589843,0.8999999761581421,0.5615798234939575
17,0.699999988079071,0.7810320854187012,0.652553915977478,68.02340118408203,0.6194030046463013,0.6416691541671753,0.8999999761581421,0.9812500476837158,0.9024530649185181,67.82061004638672,0.949999988079071,0.5624603629112244
18,0.7250000238418579,0.8189181089401245,0.6987746953964233,67.61392768859864,0.6900726556777954,0.6373994946479797,0.8999999761581421,0.9900000095367432,0.9158729314804077,67.41828765869141,1.0,0.5730987191200256
19,0.7250000238418579,0.8062800765037537,0.6982781887054443,67.23703018188476,0.7157106995582581,0.633435070514679,0.925000011920929,0.9950000047683716,0.931024432182312,67.01746063232422,1.0,0.5902992486953735
20,0.7699999809265137,0.8610153198242188,0.7244033217430115,66.81543304443359,0.7213930487632751,0.6833295226097107,0.925000011920929,0.9975000023841858,0.931024432182312,66.61966094970703,1.0,0.6035594940185547
21,0.7850000262260437,0.8760349750518799,0.7465950846672058,66.4197841644287,0.7367021441459656,0.693074107170105,0.9750000238418579,0.9987499713897705,0.9818181991577148,66.21970672607422,1.0,0.6277865767478943
22,0.800000011920929,0.8821871280670166,0.7665806412696838,66.0325299835205,0.7543424367904663,0.7178819179534912,0.925000011920929,1.0,0.9373737573623657,65.82523651123047,1.0,0.6329017877578735
23,0.8299999833106995,0.9031275510787964,0.8124665021896362,65.6283641052246,0.7994987368583679,0.7260991930961609,0.949999988079071,1.0,0.9595958590507507,65.42841339111328,1.0,0.654949963092804
24,0.7975000143051147,0.8862252831459045,0.7802680134773254,65.2722135925293,0.7686567306518555,0.7138110995292664,0.949999988079071,1.0,0.9595958590507507,65.03533325195312,1.0,0.6721967458724976
25,0.8299999833106995,0.9264082312583923,0.8102790117263794,64.85298538208008,0.7945544719696045,0.7488414645195007,0.949999988079071,1.0,0.9595958590507507,64.64190216064453,1.0,0.6904752850532532
26,0.8287500143051147,0.913640022277832,0.8155741691589355,64.49133537292481,0.8111380338668823,0.7235592007637024,0.949999988079071,0.9999999403953552,0.9595958590507507,64.2520248413086,1.0,0.7051057815551758
27,0.8399999737739563,0.9071698188781738,0.8195683360099792,64.13155502319336,0.824940025806427,0.770261287689209,0.949999988079071,1.0,0.9595958590507507,63.86873779296875,1.0,0.7144583463668823
28,0.8424999713897705,0.9268310070037842,0.8117753863334656,63.73384395599365,0.8376288414001465,0.7504059672355652,0.9750000238418579,1.0,0.9777777791023254,63.482574462890625,1.0,0.7503534555435181
29,0.8587499856948853,0.9320135712623596,0.8399218916893005,63.35725467681885,0.847328245639801,0.7719855308532715,0.9750000238418579,1.0,0.9777777791023254,63.1016227722168,1.0,0.7673395872116089
30,0.8712499737739563,0.9428286552429199,0.8428943157196045,62.96542133331299,0.8586118221282959,0.7889003753662109,1.0,1.0,1.0,62.72462615966797,1.0,0.7903072237968445
