epoch,accuracy,auc_1,f1_m,loss,precision_1,recall_1,val_accuracy,val_auc_1,val_f1_m,val_loss,val_precision_1,val_recall_1
0,0.49642857909202576,0.5106650590896606,0.40954551100730896,74.95779680524554,0.5486725568771362,0.40789473056793213,0.550000011920929,0.5625,0.22999997437000275,74.8198486328125,0.4000000059604645,0.25
1,0.5214285850524902,0.5130976438522339,0.4285714328289032,74.7932359967913,0.47200000286102295,0.4645669162273407,0.625,0.5377603769302368,0.21333332359790802,74.67477416992188,0.6000000238418579,0.1875
2,0.4749999940395355,0.4823026955127716,0.39764168858528137,74.66168256487165,0.4406779706478119,0.3909774422645569,0.6000000238418579,0.5729166269302368,0.13333331048488617,74.52924041748047,0.5,0.125
3,0.5428571701049805,0.5819743871688843,0.48642343282699585,74.47942156110491,0.5916666388511658,0.47333332896232605,0.5249999761581421,0.5533854365348816,0.22999997437000275,74.38631896972656,0.3636363744735718,0.25
4,0.5071428418159485,0.5069870948791504,0.45614925026893616,74.35943080357143,0.5384615659713745,0.47297295928001404,0.5,0.5533853769302368,0.3166666030883789,74.24341888427735,0.375,0.375
5,0.5285714268684387,0.5240610241889954,0.4749247431755066,74.21559404645647,0.5390625,0.48591548204421997,0.5,0.5690103769302368,0.4176190495491028,74.10060577392578,0.40909090638160706,0.5625
6,0.5714285969734192,0.587798535823822,0.533302366733551,74.03365892682757,0.5681818127632141,0.54347825050354,0.4749999940395355,0.57421875,0.40333327651023865,73.95688018798828,0.3913043439388275,0.5625
7,0.5142857432365417,0.5189905762672424,0.4684889614582062,73.92368600027902,0.4852941036224365,0.5,0.5,0.5846353769302368,0.4176190495491028,73.81159820556641,0.40909090638160706,0.5625
8,0.5142857432365417,0.5330371856689453,0.5018675923347473,73.7702885219029,0.5277777910232544,0.5277777910232544,0.5249999761581421,0.5885416269302368,0.45650792121887207,73.66810302734375,0.43478259444236755,0.625
9,0.5607143044471741,0.5856960415840149,0.5395908951759338,73.60435921805245,0.5808823704719543,0.5448275804519653,0.5249999761581421,0.58984375,0.4688888490200043,73.52519226074219,0.4399999976158142,0.6875
10,0.550000011920929,0.5589916706085205,0.5089591145515442,73.47791203090122,0.5441176295280457,0.5362318754196167,0.5249999761581421,0.6002604365348816,0.4688888490200043,73.3811050415039,0.4399999976158142,0.6875
11,0.5678571462631226,0.595660388469696,0.4935188889503479,73.3155733380999,0.548872172832489,0.5447761416435242,0.550000011920929,0.63671875,0.46761903166770935,73.23656616210937,0.4545454680919647,0.625
12,0.5214285850524902,0.5798580646514893,0.4664955139160156,73.17142159598214,0.5333333611488342,0.503496527671814,0.550000011920929,0.62109375,0.48317456245422363,73.09410400390625,0.4583333432674408,0.6875
13,0.49642857909202576,0.5133271813392639,0.4221532642841339,73.07234824044365,0.4803149700164795,0.4485294222831726,0.625,0.6536458730697632,0.5085713863372803,72.95029754638672,0.523809552192688,0.6875
14,0.5107142925262451,0.5590959787368774,0.4744959771633148,72.90457196916853,0.48148149251937866,0.49242424964904785,0.6499999761581421,0.6809895634651184,0.5276190042495728,72.80749969482422,0.550000011920929,0.6875
15,0.5928571224212646,0.6147620677947998,0.5704989433288574,72.73339451381139,0.6086956262588501,0.5833333134651184,0.574999988079071,0.6770833730697632,0.5085713863372803,72.66593627929687,0.47826087474823,0.6875
16,0.5392857193946838,0.595740795135498,0.4320964813232422,72.60762002127511,0.4736842215061188,0.5163934230804443,0.675000011920929,0.7018229365348816,0.5276190042495728,72.5218505859375,0.5789473652839661,0.6875
17,0.5607143044471741,0.5760639905929565,0.5304855108261108,72.47500850132533,0.611940324306488,0.5359477400779724,0.675000011920929,0.7044270634651184,0.5276190042495728,72.38028106689453,0.5789473652839661,0.6875
18,0.5285714268684387,0.562911868095398,0.5151473879814148,72.33656420026507,0.5448275804519653,0.5448275804519653,0.625,0.7161458134651184,0.5276190042495728,72.23938293457032,0.523809552192688,0.6875
19,0.5571428537368774,0.5706191658973694,0.48331478238105774,72.20228642054967,0.548872172832489,0.5328466892242432,0.6499999761581421,0.71484375,0.5657142400741577,72.09844970703125,0.5454545617103577,0.75
